chr	start	end	adipocyte	endothelial_cell	colon_fibroblasts	heart_fibroblasts	dermal_fibroblast	skeletal_muscle	smooth_muscle	heart_cardiomyocyte	bone_osteoblast	oligodendrocyte	neuron	hepatocyte	pancreas_duct	pancreas_acinar	pancreas_delta	pancreas_beta	pancreas_alpha	kidney_epithelial	thyroid_epithelial	fallopian_epithelial	ovary_epithelial	erythrocyte_progenitor	T-cell	NK-cell	monocyte	granulocyte	B-cell	epiderminal_keratinocyte	head_neck_epithelial	lung_epithelial	prostate_epithelial	bladder_epithelial	breast_luminal	breast_basal	lung_alveolar_epithelial	gallbladder	gastric_epithelial	colon_epithelial	small_int_epithelial
chr1	1003660	1003750	0.90	0.95	0.90	0.92	0.92	0.94	0.91	0.97	0.92	0.95	0.95	0.90	0.94	0.92	0.84	0.91	0.84	0.97	0.96	0.98	0.97	0.75	0.94	0.95	0.95	0.94	0.94	0.16	0.75	0.89	0.96	0.91	0.93	0.82	0.96	0.94	0.95	0.96	0.90
chr1	1160250	1160367	0.78	0.85	0.81	0.86	0.91	0.90	0.89	0.95	0.93	0.95	0.96	0.95	0.92	0.96	0.94	0.98	0.98	0.95	0.94	0.96	0.96	0.82	0.94	0.97	0.96	0.95	0.95	0.95	0.96	0.95	0.96	0.94	0.97	0.95	0.96	0.65	0.79	0.04	0.57
chr1	1179392	1179548	0.88	0.91	0.76	0.83	0.90	0.87	0.86	0.95	0.79	0.93	0.89	0.93	0.97	0.91	0.90	0.94	0.93	0.62	0.76	0.88	0.83	0.80	0.93	0.97	0.93	0.94	0.05	0.95	0.88	0.90	0.95	0.96	0.98	0.96	0.96	0.92	0.96	0.94	0.96
chr1	1259147	1259187	0.93	0.95	0.94	0.89	0.91	0.94	0.93	0.92	0.95	0.94	0.93	0.96	0.96	0.95	0.93	0.94	0.92	0.95	0.95	0.93	0.96	0.90	0.96	0.95	0.97	0.97	0.95	0.06	0.14	0.71	0.90	0.96	0.93	0.88	0.92	0.98	0.91	0.94	0.94
chr1	1262136	1262432	0.94	0.94	0.95	0.94	0.95	0.93	0.91	0.92	0.93	0.95	0.95	0.97	0.98	0.95	0.95	0.95	0.95	0.97	0.96	0.96	0.95	0.05	0.96	0.97	0.97	0.98	0.97	0.86	0.95	0.94	0.96	0.95	0.96	0.83	0.95	0.95	0.93	0.87	0.88
chr1	1556170	1556571	0.89	0.92	0.88	0.82	0.90	0.88	0.83	0.94	0.90	0.93	0.92	0.97	0.96	0.92	0.95	0.95	0.96	0.92	0.11	0.92	0.94	0.86	0.95	0.97	0.96	0.97	0.95	0.91	0.93	0.92	0.95	0.94	0.96	0.94	0.95	0.92	0.94	0.95	0.94
chr1	1917488	1918235	0.90	0.93	0.87	0.87	0.86	0.51	0.86	0.96	0.84	0.94	0.96	0.97	0.94	0.04	0.96	0.95	0.97	0.96	0.95	0.94	0.91	0.76	0.90	0.94	0.93	0.94	0.89	0.91	0.92	0.86	0.93	0.92	0.95	0.95	0.93	0.95	0.93	0.94	0.93
chr1	1972445	1972461	0.94	0.94	0.88	0.93	0.94	0.95	0.90	0.97	0.91	0.98	0.97	0.94	0.96	0.87	0.97	0.93	0.93	0.96	0.67	0.95	0.94	0.71	0.95	0.97	0.96	0.97	0.94	0.92	0.93	0.85	0.98	0.94	0.94	0.98	0.11	0.96	0.92	0.94	0.93
chr1	2075420	2075872	0.79	0.84	0.88	0.78	0.80	0.79	0.71	0.89	0.67	0.17	0.08	0.96	0.93	0.95	0.91	0.95	0.94	0.95	0.93	0.96	0.95	0.68	0.93	0.94	0.95	0.96	0.95	0.92	0.92	0.92	0.95	0.96	0.95	0.95	0.90	0.95	0.93	0.96	0.92
chr1	2212530	2213043	0.01	0.01	0.03	0.02	0.02	0.03	0.02	0.01	0.02	0.03	0.02	0.81	0.01	0.02	0.04	0.02	0.03	0.06	0.03	0.00	0.02	0.00	0.03	0.02	0.01	0.01	0.03	0.03	0.00	0.00	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.01
