acc,chr,pos
cg08169020,chr14,68790171
cg25913761,chr15,90184328
cg26955540,chr15,90184338
cg25170017,chr11,64877015
cg12827637,chr14,68790074
cg19442545,chr10,73773673
cg15838173,chr10,73773642
cg23231163,chr10,73773592
cg04858631,chr10,72275812
cg19442545,chr10,73773673
cg15838173,chr10,73773642
cg10560079,chr2,190534080
cg11845111,chr2,190534030
cg27211696,chr2,190534043
cg00982136,chr2,200861416
cg22017733,chr5,163509447
cg26460530,chr22,39523062
cg13677741,chr1,235867796
cg22879098,chr5,672730
cg24082121,chr5,672757
cg09642825,chr16,87382624
cg01424562,chr14,68789960
cg15376996,chr22,50474126
cg14789659,chr10,62049314
cg00928816,chr10,62049339
cg20746552,chr10,62049349
cg16389209,chr10,62049362
cg19300307,chr13,98484326
cg11895835,chr5,111742779
cg03419014,chr21,36990442
cg14785464,chr21,36990425
cg06167719,chr21,36990427
cg09037712,chr21,36990454
cg06340704,chr13,97225163
cg12474798,chr10,62806012
cg20684110,chr10,62805990
cg01005506,chr10,62806008
cg18856478,chr1,43348687
cg27189395,chr16,89658663
cg04043919,chr16,89658683
cg26033520,chr10,72244313
cg05507654,chr16,88443449
cg05056497,chr21,34527150
cg25913761,chr15,90184328
cg26955540,chr15,90184338
cg24275356,chr6,32974764
cg26953232,chr6,32974717
cg00936790,chr8,29170327
cg05258935,chr19,38596283
cg12474798,chr10,62806012
cg20684110,chr10,62805990
cg01005506,chr10,62806008
cg03419014,chr21,36990442
cg14785464,chr21,36990425
cg06167719,chr21,36990427
cg09037712,chr21,36990454
cg23220823,chr7,45001541
cg08857351,chr12,117189645
cg02486646,chr12,117189673
cg08474651,chr2,200864960
cg27395200,chr6,32974933
cg07275218,chr6,32974937
cg10509607,chr14,99192204
cg14855367,chr3,191330519
cg23247274,chr13,21176510
cg22897141,chr11,64809866
cg22879098,chr5,672730
cg24082121,chr5,672757
cg03254916,chr1,202009821
cg08063160,chr2,237669733
cg08425810,chr12,57738775
cg09267773,chr16,79768570
cg02962602,chr17,82213537
cg24275356,chr6,32974764
cg26953232,chr6,32974717
cg26757820,chr10,74589520
cg08832851,chr12,92142046
cg03711944,chr11,47355661
cg27388962,chr10,4663242
cg04913246,chr14,99192293
cg10361922,chr17,42773772
cg26264318,chr6,32974623
cg16416715,chr6,32974581
cg08257293,chr20,31720637
cg26047334,chr2,217921186
cg14057303,chr9,106921553
cg26264318,chr6,32974623
cg25158622,chr6,32974652
cg11975790,chr6,30885831
cg25607383,chr6,30885792
cg14845962,chr12,57726454
cg08367326,chr1,109509388
cg16127573,chr11,57764827
cg27312961,chr3,191330572
cg13506158,chr3,191330588
cg27269488,chr3,191330622
cg16278496,chr14,97978139
cg11798182,chr14,97978176
cg15014975,chr1,24931056
cg04221877,chr1,24931024
cg10993442,chr1,24931096
cg24019564,chr1,24931075
cg05043794,chr9,109118604
cg09577804,chr10,3193340
cg04778755,chr10,3193377
cg19331221,chr15,90184795
cg18569141,chr15,90184763
cg16439823,chr15,90184788
cg18675610,chr10,31927383
cg22706007,chr10,31927431
cg22138735,chr20,64048360
cg04055490,chr17,8155694
cg08846870,chr19,15457549
cg07865091,chr1,43348635
cg17847861,chr19,40466776
cg03063309,chr4,24795297
cg16402452,chr12,57736072
cg11532431,chr7,27130055
cg02297709,chr1,160189880
cg15926420,chr1,160189882
cg24591770,chr1,44617032
cg10661769,chr6,30913707
cg12433575,chr6,30913687
cg06398251,chr3,184315832
cg04462378,chr11,72038714
cg14395885,chr9,127938644
cg21181453,chr9,127938675
cg00769843,chr11,63986981
cg07218880,chr13,114280804
cg06889535,chr11,126585817
cg01377358,chr20,32360408
cg11025609,chr12,110289267
cg01726273,chr2,70133018
cg15185986,chr13,98267124
cg06375761,chr6,33312631
cg13638257,chr6,33312659
cg14419102,chr6,33312623
cg18353226,chr6,33312613
cg26083458,chr6,33312647
cg15575375,chr1,61184301
cg07438103,chr11,47153592
cg16988611,chr10,80465190
cg16017089,chr11,73342785
cg08659179,chr5,27038600
cg16306706,chr1,42177603
cg16829306,chr1,21345015
cg12461469,chr3,149812554
cg13512830,chr3,149812507
cg08662757,chr11,67303496
cg14344261,chr9,36986383
cg13910860,chr9,36986410
cg14317609,chr9,36986009
cg06671450,chr9,36985990
cg19697530,chr11,115504353
cg09097345,chr22,24806119
cg11033835,chr3,77038709
cg19176391,chr11,67303289
cg25915131,chr11,67303285
cg16802508,chr11,67303267
cg25753024,chr11,67303442
cg05289892,chr11,67303345
cg24704730,chr17,43983960
