chr	start
chr1	943995
chr1	944003
chr1	944035
chr1	963472
chr1	1007071
chr1	1007091
chr1	1007109
chr1	1007118
chr1	1007316
chr1	1040788
chr1	1040792
chr1	1040847
chr1	1110944
chr1	1130484
chr1	1137262
chr1	1160227
chr1	1185237
chr1	1206410
chr1	1217200
chr1	1219473
chr1	1219646
chr1	1225689
chr1	1254716
chr1	1254757
chr1	1460899
chr1	1460916
chr1	1537767
chr1	1537813
chr1	1625424
chr1	1628120
chr1	1675118
chr1	1757537
chr1	1757573
chr1	1782562
chr1	2054836
chr1	2084376
chr1	2096544
chr1	2112322
chr1	2112360
chr1	2133002
chr1	2133252
chr1	2133380
chr1	2168996
chr1	2233103
chr1	2233163
chr1	2251173
chr1	2290814
chr1	2318178
chr1	2403475
chr1	2443571
chr1	2443981
chr1	2530381
chr1	2530384
chr1	2530395
chr1	2530399
chr1	2546650
chr1	2588481
chr1	2606280
chr1	2606309
chr1	2911233
chr1	2911268
chr1	3033069
chr1	3033069
chr1	3033109
chr1	3033109
chr1	3068266
chr1	3121652
chr1	3140802
chr1	3162505
chr1	3162648
chr1	3164662
chr1	3171145
chr1	3171170
chr1	3190726
chr1	3190726
chr1	3206490
chr1	3209469
chr1	3217199
chr1	3243051
chr1	3243081
chr1	3360961
chr1	3360961
chr1	3360993
chr1	3360993
chr1	3361059
chr1	3361059
chr1	3393704
chr1	3468365
chr1	3473180
chr1	3690837
chr1	3690861
chr1	3746967
chr1	3747141
chr1	4215081
chr1	6071616
chr1	6205969
chr1	6249240
chr1	6249283
chr1	6254053
chr1	6273736
chr1	6273783
chr1	6273807
chr1	6447919
chr1	6447968
chr1	6470555
chr1	6473308
chr1	7372553
chr1	7372583
chr1	7942575
chr1	8324380
chr1	8324424
chr1	8324453
chr1	8334302
chr1	8334341
chr1	8349005
chr1	8352637
chr1	8422629
chr1	8871076
chr1	8926975
chr1	9279624
chr1	9376988
chr1	9540056
chr1	9596926
chr1	9606844
chr1	9606844
chr1	9715927
chr1	9729107
chr1	9729107
chr1	9729107
chr1	9729116
chr1	9729116
chr1	9729116
chr1	9729924
chr1	9882485
chr1	10450339
chr1	10450339
chr1	10624335
chr1	10632742
chr1	10647860
chr1	10647860
chr1	10647877
chr1	10647877
chr1	10647896
chr1	10647896
chr1	10647946
chr1	10659872
chr1	10695265
chr1	10695284
chr1	10698180
chr1	10786035
chr1	11046988
chr1	11046991
chr1	11531709
chr1	11650553
chr1	12104420
chr1	15046455
chr1	15046455
chr1	15048652
chr1	15060243
chr1	15065937
chr1	15731927
chr1	15731932
chr1	15758876
chr1	15759102
chr1	15759147
chr1	15833865
chr1	16015628
chr1	16015628
chr1	16015660
chr1	16015660
chr1	16134289
chr1	16236694
chr1	17416470
chr1	17670424
chr1	18482803
chr1	18877505
chr1	18953692
chr1	19273022
chr1	19326294
chr1	20154255
chr1	20186451
chr1	20499753
chr1	21345015
chr1	21518306
chr1	21814521
chr1	21823319
chr1	22000626
chr1	22000638
chr1	22024896
chr1	22024932
chr1	23178139
chr1	23342198
chr1	23342299
chr1	23744763
chr1	23902742
chr1	23903085
chr1	23980663
chr1	24535382
chr1	24535382
chr1	24535429
chr1	24535429
chr1	24931024
chr1	24931056
chr1	24931075
chr1	24931096
chr1	24964456
chr1	24964550
chr1	26360596
chr1	27113972
chr1	27113972
chr1	27154103
chr1	27154177
chr1	27154177
chr1	27575558
chr1	27576044
chr1	27576044
chr1	28448862
chr1	28517967
chr1	28592788
chr1	29259787
chr1	29259787
chr1	29259787
chr1	29259902
chr1	29259902
chr1	29259906
chr1	29259906
chr1	29260068
chr1	29260148
chr1	31058382
chr1	31373076
chr1	31373096
chr1	31373112
chr1	31373138
chr1	31764576
chr1	31764576
chr1	32250956
chr1	33147376
chr1	33147390
chr1	34794655
chr1	34868751
chr1	34868758
chr1	34885739
chr1	36151969
chr1	36178380
chr1	36806221
chr1	37947012
chr1	37947012
chr1	37947016
chr1	37947016
chr1	37947039
chr1	37947039
chr1	38047573
chr1	38476548
chr1	38476641
chr1	38477304
chr1	39575821
chr1	40073360
chr1	40073360
chr1	40754434
chr1	40858722
chr1	41020430
chr1	41020430
chr1	41382302
chr1	41383067
chr1	41496396
chr1	41516356
chr1	41516356
chr1	42162914
chr1	42162914
chr1	42177603
chr1	42825163
chr1	42825538
chr1	42838636
chr1	43064523
chr1	43348635
chr1	43348687
chr1	43348687
chr1	43348687
chr1	43367245
chr1	43367245
chr1	43367280
chr1	43367280
chr1	43367916
chr1	43367929
chr1	43367944
chr1	43368202
chr1	43368220
chr1	44250270
chr1	44261565
chr1	44617032
chr1	44617032
chr1	44640594
chr1	44640594
chr1	44654623
chr1	44807823
chr1	44807823
chr1	44807873
chr1	44807873
chr1	46133330
chr1	46533539
chr1	46533576
chr1	46612909
chr1	46612977
chr1	46613080
chr1	47445836
chr1	47508038
chr1	48221687
chr1	48221720
chr1	50278650
chr1	50418808
chr1	50418872
chr1	50421110
chr1	51518087
chr1	51729875
chr1	53440041
chr1	53440069
chr1	54801452
chr1	54801452
chr1	54801479
chr1	54801479
chr1	55039475
chr1	55039507
chr1	55039516
chr1	55063485
chr1	58815711
chr1	59147038
chr1	59296440
chr1	61081668
chr1	61081717
chr1	61184301
chr1	63705293
chr1	64898187
chr1	64898187
chr1	66365910
chr1	76867437
chr1	76867453
chr1	76867474
chr1	76867513
chr1	78004956
chr1	85417982
chr1	85582857
chr1	85582857
chr1	85582902
chr1	85582902
chr1	91104655
chr1	92785627
chr1	92785646
chr1	92785661
chr1	93589278
chr1	94024235
chr1	94095141
chr1	94623004
chr1	100539082
chr1	109258625
chr1	109397178
chr1	109397218
chr1	109466887
chr1	109509388
chr1	109509388
chr1	109625399
chr1	109625427
chr1	109643383
chr1	109643405
chr1	109643422
chr1	112673760
chr1	114154019
chr1	114154049
chr1	114154491
chr1	115829250
chr1	116418561
chr1	116418561
chr1	116418561
chr1	116418591
chr1	116418591
chr1	116418591
chr1	116418611
chr1	116418611
chr1	116418611
chr1	116418782
chr1	116738211
chr1	116754332
chr1	116754332
chr1	117623780
chr1	119008360
chr1	119008360
chr1	119368047
chr1	146039240
chr1	147761630
chr1	147761635
chr1	149747986
chr1	149887702
chr1	150282458
chr1	150619999
chr1	153686174
chr1	153775182
chr1	153775210
chr1	153963243
chr1	153986321
chr1	155009353
chr1	155014036
chr1	155062899
chr1	155062899
chr1	155062899
chr1	155062899
chr1	155062912
chr1	155062912
chr1	155062912
chr1	155062912
chr1	155071085
chr1	155183824
chr1	155325144
chr1	155325151
chr1	155912153
chr1	156245864
chr1	156496296
chr1	156705178
chr1	157133849
chr1	157133849
chr1	159009748
chr1	159714641
chr1	160084141
chr1	160084157
chr1	160189880
chr1	160189880
chr1	160189882
chr1	160189882
chr1	161013977
chr1	161038752
chr1	161038960
chr1	161039021
chr1	161039021
chr1	161039021
chr1	161039021
chr1	161039034
chr1	161039034
chr1	161039034
chr1	161039034
chr1	161039036
chr1	161039036
chr1	161039036
chr1	161039036
chr1	161707662
chr1	162365441
chr1	162530844
chr1	164682782
chr1	165352962
