acc,chr,pos
cg08169020,chr14,69256888
cg25913761,chr15,90727560
cg26955540,chr15,90727570
cg25170017,chr11,64644487
cg12827637,chr14,69256791
cg19442545,chr10,75533431
cg15838173,chr10,75533400
cg23231163,chr10,75533350
cg04858631,chr10,74035570
cg19442545,chr10,75533431
cg15838173,chr10,75533400
cg10560079,chr2,191398806
cg11845111,chr2,191398756
cg27211696,chr2,191398769
cg00982136,chr2,201726139
cg22017733,chr5,162936453
cg26460530,chr22,39919067
cg13677741,chr1,236031096
cg22879098,chr5,672845
cg24082121,chr5,672872
cg09642825,chr16,87416230
cg01424562,chr14,69256677
cg15376996,chr22,50912555
cg14789659,chr10,63809073
cg00928816,chr10,63809098
cg20746552,chr10,63809108
cg16389209,chr10,63809121
cg19300307,chr13,99136580
cg11895835,chr5,111078476
cg03419014,chr21,38362742
cg14785464,chr21,38362725
cg06167719,chr21,38362727
cg09037712,chr21,38362754
cg06340704,chr13,97877417
cg12474798,chr10,64565772
cg20684110,chr10,64565750
cg01005506,chr10,64565768
cg18856478,chr1,43814358
cg27189395,chr16,89725071
cg04043919,chr16,89725091
cg26033520,chr10,74004071
cg05507654,chr16,88509857
cg05056497,chr21,35899448
cg25913761,chr15,90727560
cg26955540,chr15,90727570
cg24275356,chr6,32942541
cg26953232,chr6,32942494
cg00936790,chr8,29027844
cg05258935,chr19,39086923
cg12474798,chr10,64565772
cg20684110,chr10,64565750
cg01005506,chr10,64565768
cg03419014,chr21,38362742
cg14785464,chr21,38362725
cg06167719,chr21,38362727
cg09037712,chr21,38362754
cg23220823,chr7,45041140
cg08857351,chr12,117627450
cg02486646,chr12,117627478
cg08474651,chr2,201729683
cg27395200,chr6,32942710
cg07275218,chr6,32942714
cg10509607,chr14,99658541
cg14855367,chr3,191048308
cg23247274,chr13,21750649
cg22897141,chr11,64577338
cg22879098,chr5,672845
cg24082121,chr5,672872
cg03254916,chr1,201978949
cg08063160,chr2,238578376
cg08425810,chr12,58132558
cg09267773,chr16,79802467
cg02962602,chr17,80171413
cg24275356,chr6,32942541
cg26953232,chr6,32942494
cg26757820,chr10,76349278
cg08832851,chr12,92535822
cg03711944,chr11,47377212
cg27388962,chr10,4705434
cg04913246,chr14,99658630
cg10361922,chr17,40925790
cg26264318,chr6,32942400
cg16416715,chr6,32942358
cg08257293,chr20,30308440
cg26047334,chr2,218785909
cg14057303,chr9,109683834
cg26264318,chr6,32942400
cg25158622,chr6,32942429
cg11975790,chr6,30853608
cg25607383,chr6,30853569
cg14845962,chr12,58120237
cg08367326,chr1,110052010
cg16127573,chr11,57532299
cg27312961,chr3,191048361
cg13506158,chr3,191048377
cg27269488,chr3,191048411
cg16278496,chr14,98444476
cg11798182,chr14,98444513
cg15014975,chr1,25257547
cg04221877,chr1,25257515
cg10993442,chr1,25257587
cg24019564,chr1,25257566
cg05043794,chr9,111880884
cg09577804,chr10,3235532
cg04778755,chr10,3235569
cg19331221,chr15,90728027
cg18569141,chr15,90727995
cg16439823,chr15,90728020
cg18675610,chr10,32216311
cg22706007,chr10,32216359
cg22138735,chr20,62679713
cg04055490,chr17,8059012
cg08846870,chr19,15568360
cg07865091,chr1,43814306
cg17847861,chr19,40972683
cg03063309,chr4,24796919
cg16402452,chr12,58129855
cg11532431,chr7,27169674
cg02297709,chr1,160159670
cg15926420,chr1,160159672
cg24591770,chr1,45082704
cg10661769,chr6,30881484
cg12433575,chr6,30881464
cg06398251,chr3,184033620
cg04462378,chr11,71749760
cg14395885,chr9,130700923
cg21181453,chr9,130700954
cg00769843,chr11,63754453
cg07218880,chr13,115046279
cg06889535,chr11,126455712
cg01377358,chr20,30948211
cg11025609,chr12,110727072
cg01726273,chr2,70360150
cg15185986,chr13,98919378
cg06375761,chr6,33280408
cg13638257,chr6,33280436
cg14419102,chr6,33280400
cg18353226,chr6,33280390
cg26083458,chr6,33280424
cg15575375,chr1,61649973
cg07438103,chr11,47175143
cg16988611,chr10,82224946
cg16017089,chr11,73053830
cg08659179,chr5,27038707
cg16306706,chr1,42643274
cg16829306,chr1,21671508
cg12461469,chr3,149530341
cg13512830,chr3,149530294
cg08662757,chr11,67070967
cg14344261,chr9,36986380
cg13910860,chr9,36986407
cg14317609,chr9,36986006
cg06671450,chr9,36985987
cg19697530,chr11,115375071
cg09097345,chr22,25202086
cg11033835,chr3,77087860
cg19176391,chr11,67070760
cg25915131,chr11,67070756
cg16802508,chr11,67070738
cg25753024,chr11,67070913
cg05289892,chr11,67070816
cg24704730,chr17,42061328
cg26059153,chr20,13976190
cg06571075,chr20,13976143
cg13650938,chr19,2579075
cg22451233,chr4,157892765
cg24634420,chr4,157892748
cg20937139,chr4,157892758
cg17364114,chr6,160769359
cg10700424,chr11,134201952
cg07759394,chr11,134201954
cg23919479,chr14,37667261
cg22079161,chr4,7940579
cg13673164,chr1,110009509
cg08915603,chr4,187476569
cg09473510,chr4,187476573
cg21918126,chr14,79745471
cg13920435,chr9,90589640
cg16357921,chr9,90589634
cg20536983,chr8,13134166
cg03304380,chr8,13134144
cg05191076,chr4,66536186
cg17426273,chr10,21462441
cg08564661,chr10,124133785
cg03205140,chr10,124133802
cg10576280,chr10,124133822
cg03287340,chr19,50651195
cg12585966,chr19,17650009
cg02458065,chr19,52598653
cg24333845,chr3,152016806
cg05884394,chr7,89748671
cg03098837,chr7,89748686
cg24617568,chr7,89748647
cg05446424,chr2,14772734
cg05403555,chr2,75427088
cg04053392,chr6,168720505
cg11238048,chr6,168720487
cg24416513,chr2,176994764
cg06906472,chr2,107502801
cg18778433,chr11,12399176
cg12535280,chr11,12399498
cg05602862,chr2,14775046
cg00604209,chr5,146614596
cg08915603,chr4,187476569
cg09473510,chr4,187476573
cg24636477,chr10,48439229
cg01244944,chr4,187645118
cg27475132,chr4,187645120
cg24410535,chr4,187645144
cg25191850,chr1,233749633
cg20947082,chr1,233749643
cg18301891,chr14,102027172
cg01277542,chr16,55689901
cg10362591,chr16,55689865
cg14060111,chr20,13200944
cg09491991,chr20,13200980
cg25796439,chr20,13200939
cg04432319,chr20,13200931
cg12664209,chr20,13200954
cg25998402,chr5,174151498
cg17156565,chr5,174151492
cg20478129,chr14,27067372
cg16248329,chr4,187644739
cg10700424,chr11,134201952
cg07759394,chr11,134201954
cg05251676,chr5,38258884
cg01552272,chr20,13976096
cg04624110,chr20,13976093
cg23169957,chr20,13976106
cg25557432,chr20,13976117
cg04716990,chr20,13976126
cg06571075,chr20,13976143
cg01552272,chr20,13976096
cg04624110,chr20,13976093
cg23169957,chr20,13976106
cg25557432,chr20,13976117
cg04716990,chr20,13976126
cg06571075,chr20,13976143
cg04925858,chr14,77499547
cg09082903,chr4,164253207
cg18932726,chr10,128594141
cg05608777,chr10,128594144
cg11183632,chr20,21503152
cg20809378,chr11,43569555
cg14060111,chr20,13200944
cg09491991,chr20,13200980
cg25796439,chr20,13200939
cg04432319,chr20,13200931
cg12664209,chr20,13200954
cg09912350,chr4,156588326
cg21426003,chr2,237076811
cg19761848,chr2,237076815
cg13985485,chr1,239550283
cg13570831,chr1,239550303
cg19358877,chr19,57019279
cg03735496,chr18,18822637
cg10276227,chr19,33685817
cg14326196,chr9,116860650
cg12894649,chr20,11871396
cg23944804,chr20,11871384
cg14603345,chr20,11871375
cg14060111,chr20,13200944
cg09491991,chr20,13200980
cg25796439,chr20,13200939
cg04432319,chr20,13200931
cg12664209,chr20,13200954
cg19811761,chr19,57019022
cg00674365,chr19,57019069
cg14255256,chr2,46465
cg03242819,chr10,128994432
cg19429281,chr19,53496738
cg14344261,chr9,36986380
cg13910860,chr9,36986407
cg26422161,chr6,1313211
cg18804985,chr4,74965226
cg23244559,chr4,74965262
cg27113059,chr18,47088248
cg16652741,chr2,219825300
cg18932726,chr10,128594141
cg05608777,chr10,128594144
cg00212988,chr10,95326311
cg23654127,chr10,95326313
cg01552272,chr20,13976096
cg04624110,chr20,13976093
cg23169957,chr20,13976106
cg25557432,chr20,13976117
cg04716990,chr20,13976126
cg26059153,chr20,13976190
cg06571075,chr20,13976143
cg27166993,chr12,71833031
cg05502701,chr3,73674160
cg24353443,chr3,73674166
cg10111115,chr3,73674146
cg14473924,chr3,73674170
cg10755973,chr9,126773879
cg08675717,chr20,58180241
cg13330559,chr17,11144043
cg21599230,chr4,118006619
cg18314424,chr4,184718605
cg27051931,chr18,28681962
cg02487453,chr22,31198724
cg02422426,chr4,183370059
cg13524302,chr6,33084798
cg23075555,chr6,33084789
cg24465429,chr6,33084825
cg02662362,chr6,33084814
cg17833071,chr6,33084770
cg24266485,chr6,33084840
cg06781135,chr6,26988141
cg11369071,chr6,26988148
cg14051842,chr6,26988187
cg12272837,chr19,291315
cg02935627,chr19,291306
cg12835048,chr10,123357606
cg09880551,chr21,42218932
cg21173447,chr21,42218964
cg25591794,chr13,28554842
cg13524302,chr6,33084798
cg23075555,chr6,33084789
cg24465429,chr6,33084825
cg02662362,chr6,33084814
cg17833071,chr6,33084770
cg24266485,chr6,33084840
cg14060111,chr20,13200944
cg09491991,chr20,13200980
cg25796439,chr20,13200939
cg04432319,chr20,13200931
cg12664209,chr20,13200954
cg02910208,chr7,54610022
cg14487131,chr9,79633737
cg24531022,chr5,102201825
cg15085899,chr12,125003064
cg12034678,chr1,41982027
cg05412028,chr13,95952937
cg26685941,chr13,95952902
cg02003159,chr12,107711614
cg24124443,chr12,107711648
cg03384992,chr18,21852325
cg06593258,chr18,21852333
cg26398656,chr18,21852327
cg11006267,chr5,139017424
cg02983950,chr1,38942220
cg14873488,chr14,39735625
cg00349895,chr4,154073501
cg01022974,chr4,154073480
cg05164926,chr17,7255624
cg18213545,chr11,57529400
cg10831212,chr11,57529419
cg19210276,chr11,57529465
cg15650509,chr2,237476609
cg15473346,chr1,165798420
cg06121450,chr1,165798382
cg14612335,chr3,170074131
cg00349895,chr4,154073501
cg01022974,chr4,154073480
cg16208357,chr17,40932520
cg24104567,chr17,40932508
cg02763536,chr17,40932515
cg03717364,chr2,43202481
cg04011671,chr2,43202474
cg02971575,chr4,146402540
cg07363543,chr1,224691275
cg15232539,chr8,19459672
cg21344746,chr10,80831230
cg25606201,chr5,180614858
cg26008365,chr1,153958797
cg10640944,chr5,102201890
cg16208357,chr17,40932520
cg24104567,chr17,40932508
cg02763536,chr17,40932515
cg08640252,chr16,1820949
cg18976418,chr14,39735496
cg25365958,chr13,42615991
cg16247817,chr1,153747686
cg24408896,chr1,153747658
cg10683341,chr4,39639289
cg23651614,chr4,39639327
cg10831212,chr11,57529419
cg19210276,chr11,57529465
cg08092930,chr11,70117714
cg15416179,chr17,21189859
cg18609578,chr2,201170806
cg03997390,chr2,201170790
cg12446199,chr1,167408841
cg22707529,chr6,143999715
cg20865323,chr6,143999666
cg27557428,chr1,201139878
cg12426092,chr15,31689570
cg13469590,chr9,19229767
cg13607248,chr3,183874556
cg05103231,chr6,30881664
cg26860970,chr6,30881658
cg16555181,chr6,30881643
cg02186769,chr6,30881645
cg03666441,chr17,7254671
cg13152952,chr8,41570554
cg13437525,chr12,51318487
cg02501827,chr11,11862879
cg12492653,chr11,11862867
cg05795313,chr12,48745136
cg21272996,chr11,57529255
cg25728685,chr6,28351148
cg27424995,chr1,27902555
cg22707529,chr6,143999715
cg20865323,chr6,143999666
cg22306344,chr3,49966773
cg11153400,chr22,46449498
cg26394940,chr22,46449461
cg10421247,chr12,120524653
cg25737313,chr19,12899557
cg16704678,chr1,32230177
cg17329494,chr5,65018961
cg25104621,chr11,1569812
cg10837858,chr11,1569783
cg23600866,chr15,99791109
cg04850765,chr15,67135479
cg11911122,chr8,71316769
cg25150243,chr15,50474159
cg25417405,chr15,50474129
cg10040748,chr1,211431567
cg19725489,chr5,72252795
cg21863949,chr21,43198431
cg08388111,chr10,74032820
cg14222879,chr8,71316696
cg14247332,chr9,132805979
cg09878888,chr11,57529614
cg15846482,chr11,18610557
cg27653384,chr22,22293118
cg25011475,chr10,88517608
cg12917475,chr14,23775787
cg05877109,chr14,23775794
cg25149155,chr14,23775777
cg04542489,chr14,23775746
cg13687825,chr8,101225344
cg09226051,chr1,247611502
cg03717364,chr2,43202481
cg04011671,chr2,43202474
cg01564818,chr3,9464436
cg01870865,chr3,48507087
cg26654286,chr17,38465510
cg00236832,chr17,38465489
cg19276111,chr1,24229232
cg11183072,chr17,37894397
cg13761998,chr17,37894403
cg17740645,chr17,37894413
cg16015423,chr19,15217974
cg17765751,chr19,15217993
cg23161218,chr17,7461638
cg15995296,chr11,67210812
cg19903071,chr2,160473251
cg13461447,chr1,1714001
cg06528063,chr17,8532759
cg04545296,chr12,48745243
cg26404511,chr1,24229575
cg01607849,chr12,6976129
cg15784646,chr4,159707693
cg17525495,chr17,56401734
cg04347477,chr12,125002007
cg04406436,chr1,38942313
cg05041073,chr17,37774893
cg21936280,chr17,37774934
cg08360820,chr10,11652640
cg02573357,chr1,203738799
cg18108087,chr1,59762112
cg06074992,chr16,71598553
cg18213545,chr11,57529400
cg10831212,chr11,57529419
cg04313875,chr17,1553202
cg16256390,chr14,99712336
cg27043010,chr14,99712380
cg01447281,chr1,8482689
cg08635931,chr11,10880635
cg15473346,chr1,165798420
cg06121450,chr1,165798382
cg09284949,chr19,51190179
cg15770702,chr17,43384845
cg13279811,chr3,24725365
cg15085899,chr12,125003064
cg08462306,chr1,45273545
cg24254387,chr1,45273495
cg12043428,chr2,38892958
cg03666441,chr17,7254671
cg01088404,chr12,48214523
cg21570709,chr1,150592475
cg16898124,chr3,126195383
cg07392085,chr5,141489673
cg23643435,chr2,38893251
cg05604112,chr2,38893237
cg26635214,chr16,30996483
cg02256631,chr16,31342952
cg12717729,chr1,24071253
cg19725489,chr5,72252795
cg00738869,chr3,138552648
cg12446199,chr1,167408841
cg16411883,chr5,106878353
cg18660064,chr1,23504632
cg19286686,chr2,158731699
cg23967461,chr2,158731736
cg08447324,chr19,51170816
cg25737313,chr19,12899557
cg01870865,chr3,48507087
cg05406868,chr7,5467366
cg01014262,chr16,48533930
cg22961457,chr20,62370310
cg17525495,chr17,56401734
cg00066663,chr17,7792674
cg01664727,chr21,36258423
cg09802389,chr4,122617307
cg13357602,chr6,30655720
cg01018002,chr1,28844479
cg24691069,chr6,37322773
